"","country_code","pct_employ","month","sub-region","cases_by_monthcat","employ_pop","size_emp_rate"
"1","AT","Greater than 30% is Employed",2022-05-01,"Western Europe",2,12673495,0.157809664974027
"2","AT","Greater than 30% is Employed",2022-06-01,"Western Europe",36,12673495,2.84057396953248
"3","AT","Greater than 30% is Employed",2022-07-01,"Western Europe",96,12673495,7.57486391875327
"4","AT","Greater than 30% is Employed",2022-08-01,"Western Europe",97,12673495,7.65376875124029
"5","BE","Between 25% and 30% is Employed",2022-05-01,"Western Europe",16,15834698,1.01043922656435
"6","BE","Between 25% and 30% is Employed",2022-06-01,"Western Europe",127,15834698,8.0203613608545
"7","BE","Between 25% and 30% is Employed",2022-07-01,"Western Europe",351,15834698,22.1665105327553
"8","BE","Between 25% and 30% is Employed",2022-08-01,"Western Europe",177,15834698,11.1779839438681
"9","BG","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",0,10694003,0
"10","BG","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",3,10694003,0.280531060258726
"11","BG","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",1,10694003,0.0935103534195754
"12","BG","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",0,10694003,0
"13","CZ","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",1,15475743,0.0646172529486953
"14","CZ","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",7,15475743,0.452320770640867
"15","CZ","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",15,15475743,0.969258794230429
"16","CZ","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",18,15475743,1.16311055307651
"17","DE",NA,2022-05-01,"Western Europe",53,0,Inf
"18","DE",NA,2022-06-01,"Western Europe",1071,0,Inf
"19","DE",NA,2022-07-01,"Western Europe",1619,0,Inf
"20","DE",NA,2022-08-01,"Western Europe",586,0,Inf
"21","DK",NA,2022-05-01,"Northern Europe",10,0,Inf
"22","DK",NA,2022-06-01,"Northern Europe",25,0,Inf
"23","DK",NA,2022-07-01,"Northern Europe",64,0,Inf
"24","DK",NA,2022-08-01,"Northern Europe",70,0,Inf
"25","EE","Between 25% and 30% is Employed",2022-05-01,"Northern Europe",0,1924556,0
"26","EE","Between 25% and 30% is Employed",2022-06-01,"Northern Europe",1,1924556,0.519600364967296
"27","EE","Between 25% and 30% is Employed",2022-07-01,"Northern Europe",3,1924556,1.55880109490189
"28","EE","Between 25% and 30% is Employed",2022-08-01,"Northern Europe",6,1924556,3.11760218980378
"29","EL","Less than 25% is Employed",2022-05-01,"Southern Europe",1,15402922,0.0649227464762855
"30","EL","Less than 25% is Employed",2022-06-01,"Southern Europe",6,15402922,0.389536478857713
"31","EL","Less than 25% is Employed",2022-07-01,"Southern Europe",26,15402922,1.68799140838342
"32","EL","Less than 25% is Employed",2022-08-01,"Southern Europe",19,15402922,1.23353218304942
"33","ES",NA,2022-05-01,"Southern Europe",191,0,Inf
"34","ES",NA,2022-06-01,"Southern Europe",1419,0,Inf
"35","ES",NA,2022-07-01,"Southern Europe",3244,0,Inf
"36","ES",NA,2022-08-01,"Southern Europe",1429,0,Inf
"37","FI","Between 25% and 30% is Employed",2022-05-01,"Northern Europe",0,7969190,0
"38","FI","Between 25% and 30% is Employed",2022-06-01,"Northern Europe",4,7969190,0.501933069734816
"39","FI","Between 25% and 30% is Employed",2022-07-01,"Northern Europe",9,7969190,1.12934940690334
"40","FI","Between 25% and 30% is Employed",2022-08-01,"Northern Europe",9,7969190,1.12934940690334
"41","FR","Between 25% and 30% is Employed",2022-05-01,"Western Europe",17,94579132,0.179743666922213
"42","FR","Between 25% and 30% is Employed",2022-06-01,"Western Europe",481,94579132,5.08568845821084
"43","FR","Between 25% and 30% is Employed",2022-07-01,"Western Europe",1457,94579132,15.4050895709214
"44","FR","Between 25% and 30% is Employed",2022-08-01,"Western Europe",934,94579132,9.87532852384393
"45","HR","Less than 25% is Employed",2022-05-01,"Southern Europe",0,6080104,0
"46","HR","Less than 25% is Employed",2022-06-01,"Southern Europe",1,6080104,0.164470870892998
"47","HR","Less than 25% is Employed",2022-07-01,"Southern Europe",10,6080104,1.64470870892998
