"","sub-region","month","sum_rate"
"1","Eastern Europe",2022-05-01,0.044
"2","Eastern Europe",2022-06-01,0.459
"3","Eastern Europe",2022-07-01,0.738
"4","Eastern Europe",2022-08-01,0.596
"5","Northern Europe",2022-05-01,0.266
"6","Northern Europe",2022-06-01,2.812
"7","Northern Europe",2022-07-01,6.029
"8","Northern Europe",2022-08-01,3.865
"9","Southern Europe",2022-05-01,2.67
"10","Southern Europe",2022-06-01,7.743
"11","Southern Europe",2022-07-01,13.759
"12","Southern Europe",2022-08-01,7.236
"13","Western Europe",2022-05-01,0.493
"14","Western Europe",2022-06-01,6.083
"15","Western Europe",2022-07-01,15.385
"16","Western Europe",2022-08-01,8.119
